Element,Mean_Distance,Std_Dev_Distance,1st_cutoff
Ag,3.2709074074074085,0.27752101449913275,3.6594047200353503
Al,2.462292069193621,1.4276348220222073,4.163450938425914
Ar,3.899999999999999,0.0,4.177017017017017
As,3.197152406417118,0.11912911687257065,3.930964297630964
Au,,,
B,2.9811425656719805,0.2493952283524014,3.8104426949471994
Ba,3.550174581005553,0.2357877180007604,3.956078571063556
Be,2.736030664395238,0.2885122240161058,3.7593293293293293
Bi,4.087217630853994,0.5207763165523438,4.887744381017654
Br,2.2926373626373597,0.060545457545457475,3.0704104104104104
C,2.434408284023663,0.4914658376782275,3.197957957957958
Ca,3.452091603053269,0.33492136044709947,4.8569532495458425
Cd,3.367009345794403,0.13273715771170944,3.8078778778778775
Ce,3.3017361111111208,0.08510592157716251,3.6241829417004596
Cl,2.1416613756613767,0.08043564104462235,3.068118118118118
Co,3.1849567723342953,0.02764875747151843,3.3091541090640186
Cr,3.6695798319327824,0.4737949759695429,4.743178133088042
Cs,4.115123367198813,0.3758096192659678,4.857847847847848
Cu,3.463762935089364,0.30857083273249086,4.204803983162341
Dy,3.5056666666666647,0.30545689546778,4.084594594594594
Er,3.2252107279693023,0.16662648373337524,3.5386611135660186
Eu,3.434107142857151,0.29534841488366037,4.344054054054054
F,3.528633417864234,1.1114492139325358,5.0
Fe,3.2815570809249253,0.2707304425561344,4.785925925925926
Ga,3.614782608695651,0.3820746822310168,4.537657657657658
Gd,3.172937685459944,0.11358525336179005,3.4768468468468465
Ge,3.182268041237118,0.09514984503630751,3.797658739820902
H,3.0303589743589714,0.2396031391438818,3.373618783949114
Hg,4.226199999999994,0.27991305182666154,4.692352352352352
Ho,3.1774251497006056,0.14364606182316586,3.3927827827827826
I,2.525368421052631,0.033136259534027504,3.2260960960960965
In,3.639871794871798,0.6090603654848415,4.421981360740119
Ir,,,
K,3.676229253112016,0.3308736904781766,4.582995147299452
La,3.359457454208256,0.2448145574560563,4.56932462993524
Li,3.13612733171126,0.3014904934725099,4.015129634138644
Lu,2.9823300970873876,0.006432218218471589,3.1354054054054052
Mg,3.2315105198604535,0.13609020235046737,3.823689274860446
Mn,3.2538288920055947,0.047157684912791605,3.5901901901901905
Mo,3.876108843537399,0.44464796609230495,4.686627688749811
N,2.336709302325558,0.6905835862171074,3.3568168168168167
Na,3.3501393450781882,0.22725692558128047,4.059666383099817
Nb,3.4371739130434737,0.14867418531112436,3.991681681681682
Nd,3.4288547717842532,0.30474380556589215,4.46779837895954
Ni,3.2959999999999923,0.10485207119810425,3.788708708708709
O,1.8520944363304759,0.11618588197798317,2.7560005951897844
P,3.1197831138652163,0.09599889631716563,3.8967066165264366
Pb,3.6825340599455254,0.2856358615961496,4.452882882882883
Pd,,,
Pr,3.2777995937711406,0.08856025722482071,3.6220310400490576
Rb,3.7904077669902883,0.2784805016923538,4.393491058626194
Rh,,,
Ru,2.93,,4.155285285285284
S,2.3453111739744985,0.2191492481977562,3.2420373827280735
Sb,3.232592592592596,0.20623174683486875,3.8517117117117117
Sc,2.933009708737882,0.06000543286767965,3.168148148148148
Se,2.299999999999999,0.0,3.026726726726727
Si,3.1879592677462494,0.11502665184189126,3.9361806250695137
Sm,3.2152534562212036,0.09526306316341553,3.5695095095095097
Sn,3.5157522123893736,0.08593815581292105,3.817057057057057
Sr,3.5396021055891462,0.30754078993632894,4.532964035106177
Ta,3.4177777777777827,0.1580481302310598,4.092222222222222
Tb,3.386854460093882,0.2467758448305377,4.24518133749365
Te,2.664,0.01719282467597985,3.317997997997998
Ti,3.1932706766917223,0.465397201966271,4.05921948976003
Tl,4.188996415770599,0.42993682052833787,5.0
Tm,3.6399999999999997,0.0,4.008528528528529
V,3.3709036144578235,0.10189635329436833,4.043866689512336
W,3.4673046874999973,0.2757905572090794,4.356396396396397
Y,3.2237988362428216,0.1663688751968712,3.4959693026359693
Yb,3.212204968944073,0.16778213638518175,3.5220758596434276
Zn,3.306349378042187,0.05448486624871767,3.7339176012849684
Zr,3.2295238095238092,0.5806848984031748,4.418168168168169
