Element,Mean_Distance,Std_Dev_Distance,1st_cutoff
Ag,3.664444444444445,0.07666666666666666,4.078138138138138
Al,3.4532199509401496,0.3340844230712896,4.851807483158835
As,3.52744444444445,0.2593239379126276,4.001710779848918
Au,3.520588235294119,0.30986686227389443,3.8463467070674273
B,3.29092310733349,0.3306642813504393,4.196473139806473
Ba,3.601427150671318,0.2176383920413284,3.9868656744832927
Be,3.0055038759689845,0.14141839728883882,3.3971471471471473
Bi,3.7716153846154,0.31757377038200135,4.839399399399399
Br,3.099210526315788,0.13772975441635918,3.7016314512710906
C,3.189724426489664,0.2494327688076767,3.949787084381679
Ca,2.9300421554625817,1.5990718713710306,4.489529379229079
Ce,3.4549999999999996,0.25068601528778917,4.157977977977978
Cl,3.0324801434793716,0.2850666436828852,3.8208992776560344
Co,3.339188501653585,0.2854090013399568,3.925547709872034
Cr,3.346960126332417,0.16157791366747562,3.8189646403159916
Cs,4.085479452054795,0.19876543858244097,4.521311311311311
Cu,3.183340321453473,0.19790606625155344,3.695241157072989
Er,4.026000000000002,0.06946411417339689,4.455045045045045
Eu,3.52,0.09295160030897787,4.213333333333333
F,2.340708103855223,0.1171685733124334,3.1794594594594594
Fe,3.329117961239156,0.34143870524821945,4.943794895997099
Ga,3.51874856486795,0.2936279692160492,4.256710915119324
Gd,3.7800000000000002,0.0,3.8236936936936936
Ge,3.526438326468705,0.33514271264182494,5.0
H,3.6047984538928652,0.7174407405931197,4.754974974974975
Hf,3.5606046511627896,0.10371696728272414,3.8304604604604604
Hg,,,
Ho,3.97,0.03908033683673576,4.136096096096096
I,3.259203539823004,0.10763842017850828,3.6697297297297298
In,3.5117770034843234,0.1979951412858597,4.087977977977978
Ir,3.184136478517253,0.24314339361180684,3.9434019905791673
K,3.8093425605536266,0.2102816907036091,4.307012077142208
La,3.6745212765957374,0.14338268071065424,3.9690990990990995
Li,3.3878743961352553,0.3318123364134157,4.107927837747658
Lu,3.6863999999999986,0.3434569356799577,4.487757757757757
Mg,3.54709302325583,0.29620329905964327,4.460980980980981
Mn,3.2333569635208765,0.1858434389054938,3.758472376280184
Mo,3.7537835926449823,0.36445682060163137,4.573803803803804
N,2.614403765690369,0.2235683217760794,3.3857057057057056
Na,3.56850134770892,0.2620562553827665,4.170193707220735
Nb,3.4903120499279647,0.19053125733809936,4.070933836739643
Nd,4.04,0.0,4.04049049049049
Ni,3.3027801724137875,0.25317642359325093,3.9894495997499
Np,,,
O,2.516884994261778,0.22444007732207513,3.330821131441752
Os,3.4892592592592795,0.2211972924202793,3.9704204204204205
P,3.4272256872257314,0.2536248468173991,3.88724535346157
Pb,4.033269230769228,0.29519670324241454,4.7451351351351345
Pd,3.1792452830188727,0.19947655726193994,3.8507707707707706
Pr,,,
Pt,3.1859854014598676,0.18014019714820143,3.7137937937937937
Rb,3.9961538461538444,0.13421470267294267,4.452542542542543
Re,3.295070422535205,0.13574423298957075,3.5975810946081217
Rh,3.122405063291138,0.17071439206118916,3.9218918918918915
Ru,3.1766906474820007,0.11224291557482809,3.6830331131932734
S,3.2818010146561147,0.4047377970807473,4.578113017922828
Sb,3.5503405017921232,0.20990937743420465,4.097357357357358
Sc,3.4078642714570924,0.11280383342813358,3.975180676171667
Se,3.6432022471910086,0.35658216933533526,4.502522522522522
Si,3.3611959580458017,0.2986831163712676,4.34882657432207
Sm,3.7079999999999997,0.18878001678366832,3.895045045045045
Sn,3.4837480314960585,0.21865906159595536,4.874890075260446
Sr,3.5198367346938646,0.2585754845495442,4.297687687687688
Ta,3.511340815121108,0.1595210331509243,3.989267786304824
Tc,3.1599999999999993,0.0,3.168888888888889
Te,3.7140885292717645,0.2587062864234778,4.415273381489598
Th,,,
Ti,3.3838935612849954,0.27973380051238955,4.945373611850089
Tl,3.6382978723404187,0.3082076607985932,5.0
Tm,3.9499999999999997,0.0390803368367359,4.116096096096096
U,3.45864864864865,0.3023183018469934,3.9126926926926933
V,3.538118960704365,0.27340812381554447,4.069790992193394
W,3.2555592105263194,0.08037607105387609,3.456675875074273
Y,3.650919540229879,0.1819714274967937,4.116266266266266
Yb,3.611500000000004,0.3391261430212994,4.536366366366366
Zn,3.596184407796107,0.2833476318003616,4.479498758017277
Zr,3.5258479863868244,0.1294364964671083,3.8474313252191132
