Element,Mean_Distance,Std_Dev_Distance,1st_cutoff
Ag,3.211910112359547,0.23356184002850627,3.6769345020696376
Al,3.170811775200639,0.35658554208821425,4.047086716345976
As,3.3634701025769616,0.3603696139770836,4.346814592370148
Au,3.3592670157068016,0.4064602809765585,4.196036036036036
B,3.0047074620295775,0.3663662974918522,3.805028181334488
Ba,3.5255779909137077,0.24119553156028573,4.085332389446505
Be,3.031019313304728,0.239993808410831,3.8034311889467043
Bi,3.3171847246891493,0.5046665570913701,4.412602602602603
Br,2.8359575543203657,0.26011320203691074,3.6763160457755055
C,2.9028504801096937,0.5608996525967126,3.974624624624625
Ca,3.438965366067557,0.38699356168083765,4.2282107933759585
Cd,3.550621359223295,0.3762905191415466,4.506956956956957
Ce,3.6454545454545184,0.5080638870201405,5.0
Cl,2.5796078431372025,0.13464882555813312,3.5476155534914295
Co,2.9693522702817017,0.24102280814425855,3.686444282119958
Cr,3.2743339100346054,0.32857162660952804,4.173381669958246
Cs,3.644407035175884,0.27194202268334655,4.110193035878721
Cu,2.9187896019496016,0.2685131400604665,3.8079651222794366
Dy,3.521888412017153,0.3687102935882022,4.4354054054054055
Er,3.5682442748091687,0.38004734715322963,4.372783895006117
Eu,3.265446205170994,0.26482447061009634,3.881981981981982
F,2.0043064248649385,0.1526198442626057,2.730546863179496
Fe,3.2683080066402863,0.3846782140487392,4.292533614695777
Ga,3.378983297022513,0.5043661720057513,4.714834834834836
Gd,3.143057644110275,0.09004004796004281,3.4155755755755757
Ge,3.2922818614490263,0.36590168449647564,4.088790011232454
H,2.387824351297414,0.47894118332612423,3.58963963963964
Hf,3.177764150943397,0.3644670926203762,3.923605387168951
Hg,3.7805555555555577,0.18411485154720805,5.0
Ho,3.4845728643216147,0.2917635223898105,4.289089089089089
I,3.099230072463767,0.31889718962947305,3.8178495111728346
In,3.5343965014577337,0.4048530355381889,4.452404747089432
Ir,2.869200000000008,0.1561992702748122,3.3466966966966964
K,3.32425272187397,0.31487494632019664,4.021358896433972
La,3.2423920203841923,0.23354447637379924,3.9053109566022477
Li,2.5404770004308186,1.2721248512657966,4.371471471471471
Lu,3.395535714285711,0.23260516403911213,4.121631631631632
Mg,3.368302961275635,0.3848501780370122,4.19518142767392
Mn,3.3672246966042443,0.20990913807765307,4.040769999228457
Mo,3.3477980456026133,0.33139710057157745,4.106430554678803
N,2.1901591591591445,0.22689449119992183,2.9755778100422745
Na,3.719102865845224,0.6353548134172925,5.0
Nb,3.204215976331373,0.32134542046148523,4.018958898838779
Nd,3.4184661525278166,0.3679279621772838,4.155477719962205
Ni,3.325671923439683,0.4534612289976404,4.550363967571175
Np,3.093600000000005,0.07805100637377882,3.371071071071071
O,2.096532436942923,0.19288302838382484,2.716537558579601
Os,2.993333333333337,0.2575594992895821,3.494864864864865
P,3.137696201522588,0.37568242755004877,4.033809906002098
Pb,3.513353248693029,0.4217793151254445,4.59166609051494
Pd,3.1101886792452826,0.3766124414515098,3.9563963963963964
Pr,3.36850649350648,0.3666328574729866,4.263973973973974
Pt,2.7119148936170183,0.1324644533023795,3.073913913913914
Pu,3.6427777777777797,0.2014438943717146,4.054224224224225
Rb,3.5629314720812086,0.30224079184207325,4.277795423050678
Re,2.9264670658682563,0.1640408571545206,3.423172812452092
Rh,3.269247311827938,0.4798632666730507,4.402762762762762
Ru,2.909641214351424,0.281208848143209,3.4627083840597357
S,2.638157400109127,0.27321693937424796,3.5228635843050258
Sb,3.535710659898492,0.5542767017029698,4.743406710013316
Sc,3.5570512206797584,0.573074752701263,5.0
Se,3.1153005093378563,0.3895681830466504,4.059610150691232
Si,3.1093686625712285,0.31761676308614234,3.8918974229484737
Sm,3.2757528409091035,0.3563298793564986,4.116706706706706
Sn,3.7393922651933864,0.5886951440826327,4.8672609546483425
Sr,3.4069435535599593,0.3506268148887552,4.184273703132562
Ta,3.2031046708801942,0.35157736098004966,4.066551616681747
Tb,3.051858108108107,0.15082685145714736,3.3372972972972974
Te,3.4180673447913237,0.30742464549230625,4.151298836373911
Th,3.676619565217392,0.37985276749081437,4.663560317073831
Ti,3.2696559106897474,0.42881669048825755,4.319481162844526
Tl,3.1390277777777817,0.14355291631464623,3.5665420675931188
Tm,3.5088235294117602,0.2546771464352634,4.345135135135135
U,3.653185362927455,0.4048684710189756,4.588782566350134
V,3.235668642474981,0.424731949036306,4.161816070324579
W,3.4944785754824332,0.2921764019261017,4.18462095729363
Xe,3.445,0.0053452248382485764,3.4833933933933934
Y,3.483212414349084,0.2957697018889854,4.429734118502887
Yb,3.5650824175824094,0.30123116301987174,4.298408408408409
Zn,3.3011952191234997,0.3329111911948473,3.9565711357002646
Zr,3.2123615003232975,0.31285931108347825,3.972038545051558
