Element,Mean_Distance,Std_Dev_Distance,1st_cutoff
Ag,3.404166666666669,0.32209796871336427,4.425465465465465
Al,3.222779130066765,0.1566036582029195,4.034517851184518
As,3.3585358255451716,0.19145727243974384,4.023853853853853
B,2.9886906779661784,0.18434520603560334,3.8060721782843903
Ba,3.5751354838709863,0.09874510274183496,3.933691088485883
Be,3.4769999999999994,0.034043316060880985,3.895765765765766
Bi,3.530958904109589,0.20885657870958374,4.008692205719233
Br,2.7025000000000032,0.09406246726376956,3.329109109109109
C,3.018179669030726,0.1600487536211619,3.57364761157554
Ca,3.548211096938781,0.29866895803288357,4.460980980980981
Ce,3.528000000000001,0.07446955274281089,3.6414214214214216
Cl,2.869869791666655,0.3494652032247057,3.9963963963963964
Cr,3.4067048710601373,0.09809237756563745,3.848942816690564
Cs,4.2804214559387,0.26504900591753316,4.75015494974454
Cu,3.316702127659567,0.2529077458479423,4.035375375375375
Dy,,,
Er,,,
Eu,3.195,0.06713171133426184,3.6067567567567567
F,2.0329709465791876,0.05343967947812002,2.7885185185185186
Fe,3.2465237366003055,0.19477220012580024,3.942782782782783
Ga,3.461538461538461,0.0484497694119982,3.798068068068068
Gd,3.3944000000000005,0.20238536689863196,4.041621621621622
Ge,3.0919095213045495,0.33809389438357107,4.168514490466442
H,3.3356109324758783,0.6665595540106902,4.49966966966967
Ho,,,
I,3.606185567010308,0.47411198417622646,4.386796796796797
In,4.125686274509791,0.33725203568581946,4.6535435435435435
Ir,2.7800000000000007,0.0,3.752602602602603
K,3.9234263959390834,0.39917728087169724,4.891095089083077
La,3.4461952191235032,0.2022233349113956,4.6811051892733575
Li,3.39439252336451,0.3483972740319141,4.360913516118721
Lu,,,
Mg,2.424095372210107,1.5176716247676938,4.259592775959143
Mn,3.111111111111123,0.23183854424041342,3.773593593593594
Mo,3.5530760095011873,0.2282975641715199,4.255117790463136
N,3.6885901639344425,0.9508900778649916,4.878798798798799
Na,3.3101072961373226,0.17848062674840148,3.9825318311304296
Nb,3.6738197424892602,0.34275821143351975,4.672972972972973
Nd,3.2747368421052636,0.07712676585787777,3.4674074074074075
O,2.1202480063096454,0.18095983255446255,2.8701744787830874
P,3.2555817223198273,0.1974921549916583,4.014263542822102
Pb,3.4392990654205553,0.10090445453626071,3.7025896166436705
Pr,3.287368421052633,0.07780617693724982,3.4877177177177177
Pt,3.1630769230769236,0.3608135603595946,4.364954954954955
Rb,4.038906249999998,0.2660450628938572,4.584834834834835
Re,3.93,0.0,3.933633633633634
Rh,3.4522222222222267,0.24943050399657932,3.798908908908909
Ru,3.990000000000001,0.0,4.018258258258258
S,2.8300719424460494,0.3818843573127403,3.7304804804804803
Sb,3.502083333333333,0.3042018604969809,3.952602602602602
Sc,,,
Se,2.9924999999999926,0.382335068640116,4.09947947947948
Si,3.189361070321356,0.3663902189096016,4.274693341990639
Sm,3.237037037037037,0.07247359279366272,3.4556456456456455
Sn,3.3758798283261697,0.3527632526347278,4.8209009009009005
Sr,3.5184428571428836,0.15852143505197677,4.111641641641642
Ta,3.659248826291071,0.3447988189209419,4.593603603603603
Tb,,,
Te,3.5267149758454077,0.3912850015817529,4.472752752752752
Ti,3.543048418972302,0.27703847563501954,4.435135135135136
Tl,4.024285714285717,0.048337438249331656,4.422462462462462
U,3.6159999999999983,0.07149681721443857,3.8674474474474474
V,3.4878440731900957,0.28309999785410506,4.862486751015279
W,3.86420192307692,0.1958140816386859,4.159139139139139
Y,,,
Yb,4.540000000000007,0.0,4.541901901901902
Zn,3.02,0.0,3.716436436436436
Zr,2.661428571428572,0.4398751071498703,3.4585785785785785
