Element,Mean_Distance,Std_Dev_Distance,1st_cutoff
Ag,3.820017079419316,0.4908090300529822,4.779516232949666
Al,3.437769749518326,0.3025832870886057,4.21860659458257
Ar,3.8117391304347827,0.5463819191563972,4.6402802802802805
As,3.588414613985777,0.31841691958904467,4.467326154983812
Au,3.2062244897959187,0.13881128742419743,3.682438113789465
B,3.331227487052592,0.37137727621008393,4.228071915759603
Ba,3.690696439725168,0.21215864910414303,4.340103567030494
Be,3.227552155771927,0.3748071089451285,4.241791661531401
Bi,3.6803758290346287,0.30105261293919444,4.3422892261631
Br,3.005171673819749,0.19492341312446546,3.806953981008035
C,3.215706071368147,0.3691666907054233,4.147589611633656
Ca,3.594633046330474,0.27673966598646077,4.288283148012878
Cd,3.6244691607684643,0.40471118095411446,4.4997591284978675
Ce,3.7382872928176702,0.3892548405650358,4.5523488353218085
Cl,2.8636544850497945,0.17236469636736637,3.7827827827827827
Co,3.3093182416425293,0.3219860027706431,4.0094827560293025
Cr,3.535045492142219,0.35090618938539453,4.518336113891669
Cs,3.783098145635465,0.25125736089475953,4.2250188126064
Cu,3.320543289506315,0.338997979819326,4.0088386584782985
Dy,3.6878048780487767,0.28547248270361647,4.061701701701701
Er,3.80961009174315,0.4721084779594467,4.918255663070478
Eu,3.834891089108901,0.3056667802938367,4.500720720720722
F,2.4908727735981513,0.253879092797519,3.2913844775706638
Fe,3.581515109509331,0.4554706383953793,4.853299014730446
Ga,3.623998321795688,0.3649947809129605,4.36285201117033
Gd,3.8164627151051547,0.35995841339529205,4.695995995995997
Ge,3.514053103569504,0.3812489140035669,4.403840597354111
H,2.9333198924731296,0.5049617869496615,4.28402029657285
Hf,3.329414519906332,0.2973527711202682,3.7717254491728966
Hg,3.640427046263342,0.2319309376459202,4.266556556556557
Ho,3.8905599999999976,0.3905338907696482,4.837777777777777
I,3.1859740259740446,0.12929967495681435,3.9246956866776688
In,3.8217765042980267,0.4512757578177308,4.8501339477615755
Ir,3.196219512195136,0.14359061724875924,3.726126126126126
K,3.5739044709802785,0.291093963036191,4.178725031337644
La,3.764439421338151,0.3178182161218114,4.43423328233138
Li,3.707585148370111,0.6024174140398504,5.0
Lu,3.7457798165137577,0.27743585719235697,4.43443578713849
Mg,3.346047781569946,0.2348933506949457,4.063603643683724
Mn,3.301685191065954,0.2830254135011747,3.8876010244478714
Mo,3.7561068281938157,0.25795681508705753,4.417680343005668
N,3.131725900116148,0.3938474540289761,4.116390464538613
Na,3.2164514540134674,1.2785012805461633,5.0
Nb,3.432207130730127,0.19546977873330887,3.987027047067087
Nd,3.65828970331588,0.26976396024476634,4.402292292292293
Ni,3.215480769230744,0.2320124706119893,3.7891189587986385
Np,3.945034013605427,0.3066250292319525,5.0
O,2.56102908435081,0.2681268973301022,3.2635951266581897
Os,3.2167321428571447,0.16459262782137563,3.6769028487947404
P,3.413719672924789,0.33830356510207954,4.338181785388993
Pa,3.8433333333333324,0.00481543412343091,3.879359359359359
Pb,3.6112499999999885,0.3639113914163283,4.435625625625625
Pd,3.2144680851063825,0.16242557832653481,3.6333333333333333
Pr,3.4735222672064756,0.16969888171850975,4.113363363363363
Pt,3.1914074074074157,0.12769566405427327,3.7484617049481916
Pu,3.3688235294117654,0.10019213146830198,3.733093093093093
Rb,3.841283684468402,0.44190920278183926,4.912573243914585
Re,3.964530791788864,0.32011080096557176,4.6
Rh,3.1429268292682897,0.16232145398474224,3.7112612612612614
Ru,3.2428146989835804,0.38058544297987024,3.761505960414869
S,3.030611782927259,0.274640109100371,3.904350296242188
Sb,3.675434836780467,0.3758843232684988,4.547185082980879
Sc,3.3806560509554147,0.18328255441540944,3.854758331905479
Se,3.4450993657505182,0.37401291501236106,4.45469085702319
Si,3.3478435059300486,0.2823156260000899,4.155150646141637
Sm,3.781985428050987,0.36570783251849126,4.720540540540541
Sn,3.5461524566473894,0.25014684784597485,4.118422446470495
Sr,3.5984570082450094,0.2473615126697487,4.3329543357170985
Ta,3.6094291125541242,0.2509273169338554,4.225646036426817
Tb,3.5584220183486237,0.2312507668341015,4.12946946946947
Tc,3.854444444444447,0.11158445385751165,4.3796196196196195
Te,3.638706545568458,0.33677072793423996,4.816558720883045
Th,3.9549244712991087,0.22687913952359606,4.384034284534785
Ti,3.4026634827332813,0.37055621641687464,4.27085551016482
Tl,3.4900686498855897,0.2733050264415545,4.081801801801802
Tm,3.715854922279799,0.4164917419416361,4.858768768768769
U,3.792371660162126,0.3096118192899933,4.550010180350521
V,3.530047032923028,0.33049655091329605,4.480516552588624
W,3.645877986232995,0.21121968953878162,4.099645040435831
Xe,4.0744,0.530864703416354,4.8591491491491485
Y,3.796391982182606,0.3925054299747137,4.77057031004979
Yb,3.757598784194546,0.40882428984598995,5.0
Zn,3.6523407109322594,0.5148504378317469,5.0
Zr,3.6275094748240466,0.368993657531176,4.591081471862252
