Element,Mean_Distance,Std_Dev_Distance,1st_cutoff
Ag,3.6830416666666683,0.29430493666631674,4.481774407039672
Al,3.303640917479569,0.06478139751934014,3.7376176176176177
As,3.1782193958664444,0.3187076272511405,4.0110510510510515
Au,3.5,0.0,3.6422622622622622
B,2.9930043859649484,0.16269946716862244,3.680139498858218
Ba,3.563846153846201,0.24586425613004645,4.2245828711594475
Be,3.273939393939408,0.24255220151016124,4.052312312312312
Bi,3.6056799999999964,0.13193850338206356,3.8686486486486484
Br,2.4136578581363133,0.12171865724869585,3.353793793793794
C,3.1121611721611697,0.1973743776274228,3.848058058058058
Ca,3.609815950920244,0.30570181494950943,4.535045045045045
Cd,3.6312765957447164,0.07195168425305375,3.886638680722765
Ce,,,
Cl,2.3013744075829417,0.15275655511321867,3.102822822822823
Co,3.5120634920634854,0.15101956143661632,4.0376576576576575
Cr,3.466034482758586,0.01970300227904604,3.7834134134134136
Cs,3.8023829787234074,0.3863379296311782,4.206976816656496
Cu,3.6089867841409675,0.31438974813476395,4.425540144749354
Dy,3.2027368421052618,0.21045902015494106,3.8113313313313313
Er,3.2785714285714227,0.2916738731255974,3.87944944944945
Eu,3.2132467532467546,0.1935593105193759,3.787277277277277
F,2.0398761061946864,0.15422165043833277,2.951183165147129
Fe,3.463046594982037,0.05400020120574265,3.612610348085824
Ga,3.4116727272727507,0.14208228654844768,3.9333928923918915
Gd,3.2907317073170734,0.23649070395325972,3.9494494494494496
Ge,3.350578512396692,0.21881989767935786,3.9372402232061887
H,3.532210526315787,0.5367186662181359,4.445702399095792
Hg,3.647958333333322,0.021267334385271515,3.9889516242969694
Ho,3.1410000000000053,0.1827367078682214,3.7702402402402404
I,2.6093209876543266,0.3061882432445583,3.3279776172568964
In,3.653928571428562,0.07229377619815469,3.843953953953954
Ir,2.799999999999999,0.0,3.099099099099099
K,3.8343050847457594,0.40202114221430224,4.8334186739291845
La,3.404981273408238,0.14251862965371348,3.814086308530753
Li,3.257807666442504,0.32095275077789837,3.8909371633896157
Lu,3.640666666666664,0.08112375993363673,3.9893993993993995
Mg,3.02,0.0,3.716436436436436
Mn,3.418716814159282,0.2965158197797014,4.154370436502568
Mo,3.5204516806722825,0.20432522316534416,4.156114262410559
N,3.4587761459724065,1.0645012156464788,5.0
Na,3.503622494765146,0.34344325728130226,4.32936936936937
Nb,3.528848167539264,0.221784064152767,4.071711711711711
Nd,3.815419847328251,0.43142508136480406,5.0
Ni,3.4834188034188074,0.08511819766899384,3.605785785785786
O,2.0357029799148387,0.13256081388007673,2.7059846032218404
P,3.1235686829859906,0.2941164079733032,4.0311911911911915
Pb,3.785263157894734,0.21745392672604597,4.307027027027027
Pd,3.529999999999994,0.0,3.637877877877878
Pr,3.6000000000000005,0.0,3.674174174174174
Pt,3.8427358490566013,0.4355146936407551,4.722502502502503
Rb,4.102945666816356,0.3939617676946204,4.860910399889379
Re,3.7400000000000007,0.0,3.8281481481481485
Rh,3.4876190476190527,0.23559772009568733,3.8166366366366367
Ru,3.979999999999999,0.0,3.992152152152152
S,2.421278026905812,0.22633205866152756,3.2200931662393124
Sb,3.401863247863252,0.2592206082328024,3.9997116435755067
Sc,,,
Se,3.2122194513715794,0.589799950613357,4.336351566781998
Si,3.208462897526557,0.1775823369570929,3.92012005999994
Sm,3.3078947368421048,0.23420968263203035,3.8520420420420423
Sn,3.5681735159817536,0.2569765182301797,3.968108108108108
Sr,3.5835674676524776,0.24521928409903548,4.245805805805806
Ta,3.6687843137254936,0.3339286732344051,5.0
Tb,3.173333333333334,0.2214314432459198,3.8019219219219216
Te,3.4478828828828645,0.16501674374833156,4.12994994994995
Th,4.21,0.0,4.21972972972973
Ti,3.4216363636363663,0.17787419614483915,3.866993029065101
Tl,3.7305,0.07886860218272168,3.9186486486486487
Tm,3.2693103448275838,0.2743894415002277,3.871211211211211
U,4.1,0.0,4.108608608608608
V,3.4528203184230226,0.12084021860947607,4.060999467936405
W,3.487204724409464,0.20472828343149732,3.8881860238616994
Xe,,,
Y,3.3433163265306103,0.2990955973388141,3.9636336336336337
Yb,3.142727272727276,0.1798129761004074,3.756666666666667
Zn,2.3561753916830055,1.6372217107923732,4.18411560709859
Zr,3.9460000000000006,0.032831307266724875,4.034624624624625
