Element,Symbol,Covalent Radius (pm),Covalent Radius
Hydrogen,H,31,0.31
Helium,He,28,0.28
Lithium,Li,128,1.28
Beryllium,Be,96,0.96
Boron,B,85,0.85
Carbon,C,76,0.76
Nitrogen,N,71,0.71
Oxygen,O,66,0.66
Fluorine,F,57,0.57
Neon,Ne,58,0.58
Sodium,Na,166,1.66
Magnesium,Mg,141,1.41
Aluminum,Al,121,1.21
Silicon,Si,111,1.11
Phosphorus,P,107,1.07
Sulfur,S,105,1.05
Chlorine,Cl,102,1.02
Argon,Ar,106,1.06
Potassium,K,203,2.03
Calcium,Ca,176,1.76
Scandium,Sc,170,1.7
Titanium,Ti,160,1.6
Vanadium,V,153,1.53
Chromium,Cr,139,1.39
Manganese,Mn,139,1.39
Iron,Fe,132,1.32
Cobalt,Co,126,1.26
Nickel,Ni,124,1.24
Copper,Cu,132,1.32
Zinc,Zn,122,1.22
Gallium,Ga,122,1.22
Germanium,Ge,120,1.2
Arsenic,As,119,1.19
Selenium,Se,120,1.2
Bromine,Br,120,1.2
Krypton,Kr,116,1.16
Rubidium,Rb,220,2.2
Strontium,Sr,195,1.95
Yttrium,Y,190,1.9
Zirconium,Zr,175,1.75
Niobium,Nb,164,1.64
Molybdenum,Mo,154,1.54
Technetium,Tc,147,1.47
Ruthenium,Ru,146,1.46
Rhodium,Rh,142,1.42
Palladium,Pd,139,1.39
Silver,Ag,145,1.45
Cadmium,Cd,144,1.44
Indium,In,142,1.42
Tin,Sn,139,1.39
Antimony,Sb,139,1.39
Tellurium,Te,138,1.38
Iodine,I,139,1.39
Xenon,Xe,140,1.4
Cesium,Cs,244,2.44
Barium,Ba,215,2.15
Lanthanum,La,207,2.07
Cerium,Ce,204,2.04
Praseodymium,Pr,203,2.03
Neodymium,Nd,201,2.01
Promethium,Pm,199,1.99
Samarium,Sm,198,1.98
Europium,Eu,198,1.98
Gadolinium,Gd,196,1.96
Terbium,Tb,194,1.94
Dysprosium,Dy,192,1.92
Holmium,Ho,192,1.92
Erbium,Er,189,1.89
Thulium,Tm,190,1.9
Ytterbium,Yb,187,1.87
Lutetium,Lu,187,1.87
Hafnium,Hf,175,1.75
Tantalum,Ta,170,1.7
Tungsten,W,162,1.62
Rhenium,Re,151,1.51
Osmium,Os,144,1.44
Iridium,Ir,141,1.41
Platinum,Pt,136,1.36
Gold,Au,136,1.36
Mercury,Hg,132,1.32
Thallium,Tl,145,1.45
Lead,Pb,146,1.46
Bismuth,Bi,148,1.48
Polonium,Po,140,1.4
Astatine,At,150,1.5
Radon,Rn,150,1.5
Francium,Fr,260,2.6
Radium,Ra,221,2.21
Actinium,Ac,215,2.15
Thorium,Th,206,2.06
Protactinium,Pa,200,2
Uranium,U,196,1.96
Neptunium,Np,190,1.9
Plutonium,Pu,187,1.87
Americium,Am,180,1.8
Curium,Cm,169,1.69
Berkelium,Bk,,
Californium,Cf,,
Einsteinium,Es,,
Fermium,Fm,,
Mendelevium,Md,,
Nobelium,No,,
Lawrencium,Lr,,
Rutherfordium,Rf,,
Dubnium,Db,,
Seaborgium,Sg,,
Bohrium,Bh,,
Hassium,Hs,,
Meitnerium,Mt,,
Darmstadtium,Ds,,
Roentgenium,Rg,,
Copernicium,Cn,,
Nihonium,Nh,,
Flerovium,Fl,,
Moscovium,Mc,,
Livermorium,Lv,,
Tennessine,Ts,,
Oganesson,Og,,
